timestamp,open,high,low,close,volume,quote_volume
2026-02-23 11:00:00,80.26,80.55,79.97,80.05,94455.404,7579686.0004
2026-02-23 12:00:00,80.06,80.96,79.86,80.71,186479.246,15003357.88
2026-02-23 13:00:00,80.72,81.13,80.43,80.54,263670.212,21292555.28983
2026-02-23 14:00:00,80.55,80.81,79.43,80.14,157576.135,12639305.9634
2026-02-23 15:00:00,80.14,80.34,79.2,79.4,181946.589,14514567.94223
2026-02-23 16:00:00,79.39,79.8,78.6,78.97,417556.725,33046906.67893
2026-02-23 17:00:00,78.97,79.15,77.27,78.31,243290.422,19026150.56013
2026-02-23 18:00:00,78.32,79.3,78.04,78.62,196182.936,15426152.49075
2026-02-23 19:00:00,78.63,78.92,77.98,78.29,172762.062,13547687.5302
2026-02-23 20:00:00,78.28,78.54,77.85,78.31,145213.1,11361708.43169
2026-02-23 21:00:00,78.3,78.73,78.18,78.38,113102.338,8868135.63879
2026-02-23 22:00:00,78.38,78.92,78.25,78.26,99015.322,7795163.45988
2026-02-23 23:00:00,78.26,78.54,77.63,77.9,106513.578,8317990.62488
2026-02-24 00:00:00,77.91,78.53,77.9,78.46,75549.48,5915984.22418
2026-02-24 01:00:00,78.45,78.46,75.74,77.67,402712.065,31084021.51347
2026-02-24 02:00:00,77.67,78.43,77.52,77.64,134695.414,10494143.56128
2026-02-24 03:00:00,77.63,77.63,76.47,76.87,190723.342,14686510.82477
2026-02-24 04:00:00,76.88,77.07,76.11,76.86,152910.218,11717087.28204
2026-02-24 05:00:00,76.86,77.36,76.22,76.64,183187.832,14052453.99291
2026-02-24 06:00:00,76.63,76.94,76.38,76.58,127034.991,9739727.75755
2026-02-24 07:00:00,76.59,77.22,76.5,76.84,176682.179,13592158.13452
2026-02-24 08:00:00,76.85,77.2,76.5,77.03,102429.078,7877899.05844
2026-02-24 09:00:00,77.04,77.14,76.0,76.65,116458.467,8915435.91483
2026-02-24 10:00:00,76.65,76.83,76.41,76.74,62757.101,4809532.45658
2026-02-24 11:00:00,76.75,76.92,76.49,76.77,68421.691,5248870.20356
2026-02-24 12:00:00,76.78,77.05,76.51,76.59,72628.496,5576275.05024
2026-02-24 13:00:00,76.6,76.8,76.02,76.55,117798.608,9013313.32643
2026-02-24 14:00:00,76.56,77.42,75.63,76.86,345026.306,26418706.89759
