timestamp,open,high,low,close,volume,quote_volume
2026-02-23 11:00:00,607.43,608.94,606.0,606.49,3372.332,2047043.17705
2026-02-23 12:00:00,606.49,612.49,604.76,610.66,11738.6,7155842.56174
2026-02-23 13:00:00,610.67,612.07,608.43,610.18,16338.31,9972508.03996
2026-02-23 14:00:00,610.19,611.25,606.2,608.58,7939.014,4837010.54243
2026-02-23 15:00:00,608.61,610.49,604.33,604.64,7655.903,4649393.43036
2026-02-23 16:00:00,604.64,606.33,601.19,602.32,6760.945,4080155.99673
2026-02-23 17:00:00,602.33,603.71,591.54,597.4,9903.901,5912150.78522
2026-02-23 18:00:00,597.41,601.19,595.46,597.58,5083.712,3040563.34045
2026-02-23 19:00:00,597.58,598.4,591.84,592.18,5418.076,3221964.30959
2026-02-23 20:00:00,592.18,595.72,590.2,595.3,5070.618,3005613.16823
2026-02-23 21:00:00,595.3,597.5,594.88,596.13,4362.927,2599685.18647
2026-02-23 22:00:00,596.14,598.71,595.66,596.84,3324.173,1986549.68065
2026-02-23 23:00:00,596.84,598.42,595.5,596.41,2213.541,1321679.44495
2026-02-24 00:00:00,596.4,602.9,596.2,602.45,4211.561,2526930.90386
2026-02-24 01:00:00,602.46,602.46,589.9,597.89,12804.28,7640307.30159
2026-02-24 02:00:00,597.89,601.51,597.0,598.31,4689.754,2809100.97064
2026-02-24 03:00:00,598.31,598.31,591.24,593.33,6424.974,3819514.56324
2026-02-24 04:00:00,593.34,593.89,589.15,592.19,7489.355,4430415.67612
2026-02-24 05:00:00,592.2,594.28,588.65,590.75,8423.312,4976356.31428
2026-02-24 06:00:00,590.76,591.52,586.68,587.19,6071.337,3578410.0728
2026-02-24 07:00:00,587.19,590.47,586.15,589.79,5938.056,3496126.83954
2026-02-24 08:00:00,589.78,592.93,588.58,592.27,3633.635,2146859.22773
2026-02-24 09:00:00,592.26,592.75,586.91,589.22,3937.926,2320365.39398
2026-02-24 10:00:00,589.22,589.73,587.41,588.82,3306.818,1946625.2069
2026-02-24 11:00:00,588.82,589.24,585.77,587.01,4420.497,2595314.4839
2026-02-24 12:00:00,587.01,588.43,585.66,586.09,4371.847,2565299.03374
2026-02-24 13:00:00,586.09,586.7,580.01,582.72,17556.8,10232730.70816
2026-02-24 14:00:00,582.72,585.77,577.06,581.94,30097.396,17466338.67922
2026-02-24 15:00:00,581.94,587.38,580.51,586.1,9022.826,5270300.90947
2026-02-24 16:00:00,586.09,589.69,583.87,587.86,8149.965,4782155.84209
2026-02-24 17:00:00,587.86,589.72,585.84,586.59,6388.355,3754620.52442
2026-02-24 18:00:00,586.59,589.58,584.89,588.12,4685.483,2753326.06474
2026-02-24 19:00:00,588.13,590.17,586.66,588.73,2801.125,1648026.71069
2026-02-24 20:00:00,588.73,590.43,587.96,588.47,2643.591,1557090.5902
2026-02-24 21:00:00,588.48,588.48,583.33,584.59,2507.934,1467729.80471
2026-02-24 22:00:00,584.59,586.74,584.04,585.62,2023.037,1184312.55317
2026-02-24 23:00:00,585.61,585.75,582.57,583.6,6685.986,3905441.77998
2026-02-25 00:00:00,583.61,585.09,581.51,584.36,4334.478,2527448.87229
2026-02-25 01:00:00,584.36,600.36,583.82,597.53,20463.649,12194327.8639
2026-02-25 02:00:00,597.53,602.31,597.44,598.21,9446.078,5670465.22858
2026-02-25 03:00:00,598.21,598.99,593.15,594.07,5928.916,3528732.52167
2026-02-25 04:00:00,594.07,596.4,591.0,595.44,6798.779,4038615.51019
2026-02-25 05:00:00,595.44,595.83,589.89,592.48,5627.18,3336593.10998
2026-02-25 06:00:00,592.47,595.48,592.29,593.61,2991.624,1777276.73251
2026-02-25 07:00:00,593.61,596.66,593.11,596.09,4687.746,2790806.51316
2026-02-25 08:00:00,596.1,600.68,595.86,600.31,5662.152,3389900.43005
2026-02-25 09:00:00,600.31,603.37,600.02,603.08,5232.497,3147214.07711
2026-02-25 10:00:00,603.09,603.91,600.6,602.8,4350.262,2619946.03712
2026-02-25 11:00:00,602.8,605.43,601.88,604.99,4709.63,2843953.30896
2026-02-25 12:00:00,605.0,612.42,604.58,610.98,9242.482,5627036.39763
2026-02-25 13:00:00,610.98,616.47,610.98,614.18,11626.871,7136224.29556
2026-02-25 14:00:00,614.18,619.01,613.2,618.69,17317.485,10659788.15549
2026-02-25 15:00:00,618.69,623.15,616.0,621.38,13779.01,8537533.71534
2026-02-25 16:00:00,621.39,625.89,620.93,625.52,15376.764,9580068.88949
2026-02-25 17:00:00,625.53,629.42,625.05,629.04,11361.097,7130139.95728
2026-02-25 18:00:00,629.05,634.32,626.56,632.67,12466.481,7865542.17642
2026-02-25 19:00:00,632.67,633.29,628.39,632.21,10288.879,6492389.19307
2026-02-25 20:00:00,632.21,633.2,629.9,631.7,5502.982,3475753.28668
2026-02-25 21:00:00,631.7,640.55,629.61,634.94,14210.849,9029126.3566
2026-02-25 22:00:00,634.94,637.0,628.04,631.89,10454.656,6617363.32851
2026-02-25 23:00:00,631.89,634.94,624.33,629.42,9784.763,6156006.0696
2026-02-26 00:00:00,629.42,633.83,627.54,630.08,7746.187,4886240.04075
2026-02-26 01:00:00,630.09,632.26,627.04,627.54,7020.549,4419073.26868
2026-02-26 02:00:00,627.53,628.8,625.37,628.01,6278.693,3934408.37707
2026-02-26 03:00:00,628.01,628.6,626.35,627.87,4216.263,2646204.657
2026-02-26 04:00:00,627.88,632.47,627.45,630.52,3661.567,2306739.27016
2026-02-26 05:00:00,630.53,630.75,626.24,628.52,4271.653,2682309.42825
2026-02-26 06:00:00,628.52,629.64,625.84,626.61,3877.935,2433357.67839
2026-02-26 07:00:00,626.61,628.4,625.3,625.6,2825.215,1770564.35263
2026-02-26 08:00:00,625.61,629.08,625.61,626.24,3136.263,1967282.91777
2026-02-26 09:00:00,626.24,630.29,625.87,629.45,4593.264,2888676.8457
2026-02-26 10:00:00,629.46,630.22,625.03,626.02,4728.061,2966049.95296
2026-02-26 11:00:00,626.01,626.78,622.89,622.96,3918.451,2445337.5324
2026-02-26 12:00:00,622.97,626.78,622.82,626.6,3104.331,1940945.5037
2026-02-26 13:00:00,626.6,628.16,625.12,626.48,2461.886,1542332.82541
2026-02-26 14:00:00,626.47,628.52,621.0,625.43,11323.099,7074655.88206
2026-02-26 15:00:00,625.43,626.08,618.68,623.2,12962.427,8062763.81541
2026-02-26 16:00:00,623.2,624.72,614.2,614.73,13715.118,8480472.25899
2026-02-26 17:00:00,614.73,619.09,614.42,616.69,6114.348,3773557.39452
2026-02-26 18:00:00,616.69,620.91,614.31,620.05,4916.049,3037257.44572
2026-02-26 19:00:00,620.05,625.38,619.85,624.56,6380.434,3975928.83682
2026-02-26 20:00:00,624.57,626.31,621.29,621.99,3136.12,1957131.01056
2026-02-26 21:00:00,621.99,624.07,620.89,623.58,2136.98,1330873.50377
2026-02-26 22:00:00,623.57,626.27,623.19,626.14,2178.832,1360905.41694
2026-02-26 23:00:00,626.14,626.9,624.35,625.74,1971.619,1233879.62689
2026-02-27 00:00:00,625.74,626.3,623.29,625.22,3296.682,2059946.55197
2026-02-27 01:00:00,625.22,626.27,622.5,625.75,3329.546,2080590.6224
2026-02-27 02:00:00,625.76,630.27,625.51,629.63,5379.099,3382319.71632
2026-02-27 03:00:00,629.63,630.0,627.85,629.17,5447.662,3425805.46771
2026-02-27 04:00:00,629.17,633.43,628.8,631.71,8980.168,5667277.2205
2026-02-27 05:00:00,631.72,633.65,629.92,631.73,4575.355,2892425.792
2026-02-27 06:00:00,631.72,631.75,628.28,628.7,5157.239,3248089.43432
2026-02-27 07:00:00,628.7,628.75,624.94,627.06,6762.389,4237788.60973
2026-02-27 08:00:00,627.06,629.28,626.34,628.35,3736.996,2346158.51435
2026-02-27 09:00:00,628.35,630.0,624.06,624.33,3704.074,2323300.00206
2026-02-27 10:00:00,624.32,624.8,616.34,616.74,9261.836,5744521.23556
2026-02-27 11:00:00,616.73,619.28,613.22,614.85,7713.581,4752537.57464
2026-02-27 12:00:00,614.86,616.85,613.28,614.62,6320.653,3886777.56245
2026-02-27 13:00:00,614.62,616.42,609.67,614.24,11350.863,6956793.52778
2026-02-27 14:00:00,614.24,615.5,610.68,611.65,9082.323,5566323.80797
2026-02-27 15:00:00,611.64,615.48,610.56,614.4,4821.641,2955176.29288
2026-02-27 16:00:00,614.41,614.73,610.0,610.0,5814.197,3559318.38652
2026-02-27 17:00:00,610.01,612.42,606.68,612.28,8714.187,5304867.61281
2026-02-27 18:00:00,612.28,612.9,609.84,610.17,2522.804,1542366.91944
2026-02-27 19:00:00,610.16,610.42,607.67,609.8,2937.019,1789580.12475
2026-02-27 20:00:00,609.8,611.81,609.59,611.09,1393.667,851232.83588
2026-02-27 21:00:00,611.09,612.88,609.91,611.13,1522.139,930916.74956
2026-02-27 22:00:00,611.13,611.91,605.25,611.82,4111.397,2504937.21277
2026-02-27 23:00:00,611.82,614.27,611.75,614.03,2232.203,1369204.30801
2026-02-28 00:00:00,614.03,615.3,612.27,614.49,2157.841,1324260.17338
2026-02-28 01:00:00,614.49,614.9,612.12,612.5,2720.26,1667704.63892
2026-02-28 02:00:00,612.51,615.23,612.2,615.08,3700.811,2270718.8993
2026-02-28 03:00:00,615.08,615.6,613.25,614.94,5028.817,3090399.34946
2026-02-28 04:00:00,614.95,615.44,610.64,612.53,4074.149,2500787.40953
2026-02-28 05:00:00,612.53,613.33,610.26,611.18,4235.804,2591864.83437
2026-02-28 06:00:00,611.17,611.17,590.88,592.66,25777.942,15450023.51313
2026-02-28 07:00:00,592.66,601.46,590.75,597.5,14668.605,8749855.03174
2026-02-28 08:00:00,597.49,597.49,590.6,591.42,8822.552,5236327.93891
2026-02-28 09:00:00,591.42,594.74,589.3,591.62,9017.804,5333369.36633
2026-02-28 10:00:00,591.63,595.08,588.64,594.46,10167.245,6020846.09696
2026-02-28 11:00:00,594.45,598.57,594.15,594.56,8556.625,5103179.80288
2026-02-28 12:00:00,594.57,598.3,594.12,597.0,4390.307,2619554.95937
2026-02-28 13:00:00,597.0,603.75,595.15,603.2,10683.08,6413497.40121
2026-02-28 14:00:00,603.2,605.75,599.45,600.55,11647.237,7023617.65723
2026-02-28 15:00:00,600.55,604.75,598.36,603.99,6968.798,4197904.3998
2026-02-28 16:00:00,604.0,605.17,602.15,603.75,4837.091,2920332.72021
2026-02-28 17:00:00,603.74,606.2,600.95,605.75,4293.546,2590175.45422
2026-02-28 18:00:00,605.74,613.52,604.42,611.88,6266.899,3815784.50927
2026-02-28 19:00:00,611.87,614.77,608.3,613.2,6150.951,3764320.93262
2026-02-28 20:00:00,613.2,619.72,611.98,618.15,5715.92,3526919.68305
2026-02-28 21:00:00,618.15,618.4,613.99,616.19,4504.844,2775062.36523
2026-02-28 22:00:00,616.19,621.49,615.97,617.92,4880.462,3018593.13059
2026-02-28 23:00:00,617.91,618.28,615.3,617.14,2837.51,1750774.62363
2026-03-01 00:00:00,617.14,618.2,615.43,617.96,2774.37,1711503.06527
2026-03-01 01:00:00,617.97,628.1,614.52,625.07,11847.841,7365229.12936
2026-03-01 02:00:00,625.08,631.6,624.97,629.81,19103.217,12029214.23078
2026-03-01 03:00:00,629.82,632.16,627.8,628.53,7201.062,4535544.19418
2026-03-01 04:00:00,628.54,631.31,625.74,629.74,9872.819,6205351.53934
2026-03-01 05:00:00,629.74,631.01,627.66,627.75,3656.44,2302717.99299
2026-03-01 06:00:00,627.76,628.14,623.0,625.11,7928.977,4956900.96683
2026-03-01 07:00:00,625.12,626.0,623.35,625.35,3730.854,2331002.3662
2026-03-01 08:00:00,625.36,626.42,619.13,620.15,5648.631,3520277.82636
2026-03-01 09:00:00,620.15,623.35,618.71,620.02,4572.772,2840999.47344
2026-03-01 10:00:00,620.02,623.46,618.99,623.14,3682.261,2288417.47727
2026-03-01 11:00:00,623.15,624.43,622.46,622.81,3017.101,1880866.85057
2026-03-01 12:00:00,622.8,623.28,620.51,620.52,4858.864,3021845.65202
2026-03-01 13:00:00,620.52,628.81,619.74,625.92,10447.886,6514636.20822
2026-03-01 14:00:00,625.93,629.51,625.68,627.84,5804.381,3642128.67616
2026-03-01 15:00:00,627.84,629.8,626.3,626.6,5382.353,3383542.61104
2026-03-01 16:00:00,626.6,629.6,619.95,622.96,9282.602,5810363.48337
2026-03-01 17:00:00,622.97,623.79,617.39,619.51,5303.939,3291883.09034
2026-03-01 18:00:00,619.51,625.4,619.31,622.99,5120.706,3190627.84762
2026-03-01 19:00:00,622.99,623.32,618.65,619.77,5845.158,3629041.84677
2026-03-01 20:00:00,619.77,620.57,611.37,612.53,5898.815,3626769.69487
2026-03-01 21:00:00,612.52,617.5,611.83,611.93,7318.987,4493584.68088
2026-03-01 22:00:00,611.93,618.92,610.89,615.32,9893.045,6092072.65491
2026-03-01 23:00:00,615.31,621.03,614.5,617.96,11767.846,7287920.40125
2026-03-02 00:00:00,617.96,622.37,614.43,619.89,9949.921,6146225.0574
2026-03-02 01:00:00,619.89,624.3,618.55,621.68,6035.065,3749726.43381
2026-03-02 02:00:00,621.69,624.95,617.37,622.19,5709.156,3548649.19479
2026-03-02 03:00:00,622.2,625.66,620.65,624.41,4348.985,2713481.99599
2026-03-02 04:00:00,624.42,624.85,622.15,623.25,3293.205,2053204.62391
2026-03-02 05:00:00,623.26,625.79,621.31,623.55,3344.562,2086055.32758
2026-03-02 06:00:00,623.55,623.67,616.59,617.25,4726.219,2928905.3264
2026-03-02 07:00:00,617.26,617.53,613.02,616.67,4619.164,2842004.31759
2026-03-02 08:00:00,616.67,619.36,612.96,618.57,5130.157,3156309.54765
2026-03-02 09:00:00,618.57,622.15,617.96,618.92,4076.453,2527659.34037
2026-03-02 10:00:00,618.91,621.02,617.42,621.01,3186.751,1973624.13832
2026-03-02 11:00:00,621.01,623.05,618.69,622.13,3601.076,2235660.86484
2026-03-02 12:00:00,622.14,623.08,619.75,622.01,5083.452,3159782.63803
2026-03-02 13:00:00,622.0,624.5,619.6,620.3,9646.201,5996810.2375
2026-03-02 14:00:00,620.3,634.95,618.81,633.97,15223.458,9559887.76148
2026-03-02 15:00:00,633.96,649.7,633.73,646.25,42019.465,27049731.66456
2026-03-02 16:00:00,646.25,652.87,645.63,649.13,19442.258,12619439.73394
2026-03-02 17:00:00,649.13,650.0,640.84,644.44,9528.273,6149220.73606
2026-03-02 18:00:00,644.44,644.59,638.79,639.78,7303.926,4689110.62271
2026-03-02 19:00:00,639.78,639.99,635.84,636.48,10702.443,6828083.75395
2026-03-02 20:00:00,636.48,637.46,632.43,634.72,9285.442,5896830.20785
2026-03-02 21:00:00,634.72,636.25,632.74,635.67,6464.692,4100020.66493
2026-03-02 22:00:00,635.67,640.8,635.67,639.84,4199.591,2681520.83481
2026-03-02 23:00:00,639.85,640.47,636.42,637.79,5661.235,3614063.68457
2026-03-03 00:00:00,637.79,641.43,636.69,640.68,8570.253,5478457.07344
2026-03-03 01:00:00,640.67,643.29,635.7,635.73,10068.837,6442343.22182
2026-03-03 02:00:00,635.73,637.89,633.46,635.71,8705.01,5531988.73567
2026-03-03 03:00:00,635.71,636.22,634.0,635.63,2562.271,1627462.50706
2026-03-03 04:00:00,635.63,637.36,634.0,634.34,2983.647,1896342.38214
2026-03-03 05:00:00,634.34,638.47,628.94,632.18,10566.124,6688647.23152
2026-03-03 06:00:00,632.19,633.9,630.36,633.33,7419.006,4690203.82651
2026-03-03 07:00:00,633.33,635.89,632.78,633.32,5870.234,3723060.68737
2026-03-03 08:00:00,633.32,634.14,622.56,623.9,11024.277,6912472.63576
2026-03-03 09:00:00,623.9,626.93,621.0,622.58,8541.468,5328969.60804
2026-03-03 10:00:00,622.58,626.74,621.5,625.65,8128.163,5074797.90649
2026-03-03 11:00:00,625.66,627.54,624.67,626.53,3676.455,2302720.32533
2026-03-03 12:00:00,626.52,631.89,626.03,627.52,6446.797,4049044.23667
2026-03-03 13:00:00,627.52,627.86,623.44,624.56,4774.1,2984970.90613
2026-03-03 14:00:00,624.56,629.15,621.0,623.64,9284.806,5802393.55818
2026-03-03 15:00:00,623.64,630.73,622.39,630.57,7224.446,4527936.98091
2026-03-03 16:00:00,630.56,638.92,628.56,634.56,10143.065,6426574.93988
2026-03-03 17:00:00,634.61,635.08,629.38,633.85,7142.745,4516246.39609
2026-03-03 18:00:00,633.85,638.01,631.73,634.52,3021.636,1919426.44797
2026-03-03 19:00:00,634.54,635.34,631.53,633.04,3634.083,2303381.60548
2026-03-03 20:00:00,633.04,633.73,630.37,631.66,2716.325,1716790.51356
2026-03-03 21:00:00,631.66,631.66,628.43,630.07,2169.092,1366240.74345
2026-03-03 22:00:00,630.06,634.52,630.06,634.0,2043.389,1294159.36162
2026-03-03 23:00:00,633.99,636.92,632.78,633.56,3474.827,2204245.74867
2026-03-04 00:00:00,633.57,634.57,629.52,631.87,4499.688,2845316.82752
2026-03-04 01:00:00,631.89,636.65,630.55,634.04,3360.275,2129088.65364
2026-03-04 02:00:00,634.04,634.6,630.58,634.11,2822.312,1784733.32731
2026-03-04 03:00:00,634.12,634.4,626.2,629.3,6660.076,4196155.9383
2026-03-04 04:00:00,629.29,630.54,627.12,629.99,3370.78,2119750.78725
2026-03-04 05:00:00,629.99,633.73,628.82,632.58,3711.58,2342549.55553
2026-03-04 06:00:00,632.57,635.69,631.36,634.93,3618.692,2293280.12445
2026-03-04 07:00:00,634.94,640.9,634.01,640.01,6537.161,4166132.51558
2026-03-04 08:00:00,640.01,652.51,638.89,651.25,16468.879,10624953.74552
2026-03-04 09:00:00,651.25,654.83,649.4,651.75,17628.101,11496795.72598
2026-03-04 10:00:00,651.75,654.22,650.5,651.27,11980.932,7811431.66641
2026-03-04 11:00:00,651.27,652.53,647.52,650.51,12640.613,8219408.77474
2026-03-04 12:00:00,650.51,651.3,645.94,650.65,7778.985,5049629.6417
2026-03-04 13:00:00,650.65,654.2,650.37,653.44,6314.455,4119460.55992
2026-03-04 14:00:00,653.44,657.51,648.83,651.89,18114.412,11823014.31136
2026-03-04 15:00:00,651.9,661.82,651.32,661.17,21324.399,14019367.20403
2026-03-04 16:00:00,661.17,662.7,655.93,659.52,11452.963,7551603.21147
2026-03-04 17:00:00,659.52,660.72,655.22,658.34,6589.793,4337029.82363
2026-03-04 18:00:00,658.34,662.0,656.13,661.55,5040.459,3323121.53611
2026-03-04 19:00:00,661.56,666.16,661.02,662.66,10967.92,7275976.37822
2026-03-04 20:00:00,662.66,663.12,660.21,660.6,3031.788,2006048.36142
2026-03-04 21:00:00,660.61,661.11,658.65,660.12,3319.078,2189991.09359
2026-03-04 22:00:00,660.13,662.47,657.0,657.26,6091.001,4015663.60059
2026-03-04 23:00:00,657.26,659.22,656.55,657.99,6595.341,4337694.44879
2026-03-05 00:00:00,658.0,660.03,656.36,657.85,4925.859,3242175.65687
2026-03-05 01:00:00,657.85,660.99,652.38,653.1,6154.402,4039688.90368
2026-03-05 02:00:00,653.11,657.02,652.72,654.03,6295.421,4121397.29843
2026-03-05 03:00:00,654.03,655.36,652.73,654.31,3412.975,2230936.73835
2026-03-05 04:00:00,654.31,657.42,653.93,655.39,6662.718,4367894.46685
2026-03-05 05:00:00,655.39,656.19,652.61,653.25,4536.248,2965279.85165
2026-03-05 06:00:00,653.26,655.33,650.27,654.4,5617.276,3664285.66879
2026-03-05 07:00:00,654.4,655.06,648.79,650.39,6374.496,4150194.56418
2026-03-05 08:00:00,650.4,652.87,649.61,652.69,3983.349,2594235.78948
2026-03-05 09:00:00,652.69,657.13,652.64,655.9,4962.426,3248503.48994
2026-03-05 10:00:00,655.9,665.42,655.46,663.95,7818.407,5175636.0629
2026-03-05 11:00:00,663.95,664.41,658.79,659.15,4923.234,3255933.84437
2026-03-05 12:00:00,659.15,660.81,655.08,660.01,5653.74,3722054.67768
2026-03-05 13:00:00,660.0,660.34,653.49,657.29,8262.32,5428134.91612
2026-03-05 14:00:00,657.29,658.56,652.62,656.68,8026.211,5262286.81238
2026-03-05 15:00:00,656.69,657.41,648.46,652.94,10959.019,7136615.46171
2026-03-05 16:00:00,652.95,653.67,646.26,652.61,8606.35,5592891.86536
2026-03-05 17:00:00,652.61,654.49,646.69,647.45,4453.48,2891754.14795
2026-03-05 18:00:00,647.44,650.54,646.14,650.12,4656.431,3016768.34348
2026-03-05 19:00:00,650.13,653.36,647.84,648.54,3721.741,2420527.67709
2026-03-05 20:00:00,648.54,651.54,647.86,650.82,2017.935,1311562.96008
2026-03-05 21:00:00,650.8,652.38,646.72,647.59,2163.972,1405573.49309
2026-03-05 22:00:00,647.58,649.73,646.47,648.59,2108.329,1365892.086
